"sku","title","product_id","status","media_id","score","jumia_title","image_url","page_url","message"
"HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","47042","not_attached","","","","","","no safe Jumia match"
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","47043","already_has_image","47112","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-043-hisense-front-load-washing-machine-8kg-wfqy8014evjm.jpg","",""
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","47044","not_attached","","","","","","no safe Jumia match"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","47055","not_attached","","17","VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY)","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/1527762/1.jpg?7337","https://www.jumia.co.ke/customer/account/login/?tkWl=VO144HA3VEPFSNAFAMZ-392592819&return=%2Fcatalog%2F%3Fq%3DVon%2520VART-25DHS","Media upload failed: HTTP/1.1 403 Forbidden"
"HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","47056","not_attached","","14","Fridge REF205DR Double DoorWith Adjustable Leg 205L-GREY","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/749207/1.jpg?6568","https://www.jumia.co.ke/customer/account/login/?tkWl=HI200HA0DJLEFNAFAMZ-87777872&return=%2Fcatalog%2F%3Fq%3DHisense%2520REF300DR","downloaded image too small"
"HSP-047","Sonar Bar Fridge 90L SD-90","47045","not_attached","","","","","","no safe Jumia match"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","47058","already_has_image","47115","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-048-hisense-smart-4k-uhd-tv-43-inch-43a6n.jpg","",""
"HSP-049","Vitro Full HD TV 32 inch VT-3200S","47046","not_attached","","","","","","no safe Jumia match"
"HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","47060","not_attached","","","","","","no safe Jumia match"
"HSP-051","Nunix 18 Inch Standing Fan NX-F18","47061","not_attached","","","","","","no safe Jumia match"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","47047","not_attached","","","","","","no safe Jumia match"
"HSP-053","Electromate Air Cooler 20L EM-AC20","47048","not_attached","","","","","","no safe Jumia match"
"HSP-054","Sonar 3kVA Petrol Generator SN-G3000","47064","not_attached","","","","","","no safe Jumia match"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","47065","not_attached","","","","","","no safe Jumia match"
"HSP-056","Electromate 1kVA Silent Generator EM-G1000S","47066","not_attached","","","","","","no safe Jumia match"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","47049","attached_jumia_image","47120","11","200 W Solar Panel 200W Monocrystalline All Weather Solar Panel....","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/5222252/1.jpg?6462","https://www.jumia.co.ke/200-w-solar-panel-200w-monocrystalline-all-weather-solar-panel-solarmax-mpg7600633.html","brand,tokens:solarmax|200w|monocrystalline|solar|panel,size"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","47068","attached_jumia_image","47121","11","1000W Inverter DC To AC Solar Inverter Solar Power Inverter Pure Sine Wave Inverter","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/3405491/1.jpg?4378","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830GP2V7AF9NAFAMZ-269461569&return=%2Fcatalog%2F%3Fq%3DSolarmax%2520solarmax%25201000w%2520pure%2520sine%2520wave","brand,tokens:solarmax|1000w|pure|sine|wave|inverter,size"
"HSP-059","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","47069","not_attached","","","","","","no safe Jumia match"
"HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","47070","not_attached","","","","","","no safe Jumia match"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","47071","not_attached","","","","","","no safe Jumia match"
"HSP-062","Hisense Microwave Oven 20L HM720G7H","47072","not_attached","","","","","","no safe Jumia match"
"HSP-063","AiLyons Electric Blender 1.5L AL-BL150","47050","not_attached","","","","","","no safe Jumia match"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","47074","not_attached","","","","","","no safe Jumia match"
"HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","47075","not_attached","","","","","","no safe Jumia match"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","47076","not_attached","","","","","","no safe Jumia match"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","47051","not_attached","","","","","","no safe Jumia match"
"HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","47078","not_attached","","","","","","no safe Jumia match"
"HSP-069","LG Home Theatre System 2.1 DH3140S 300W","47079","already_has_image","47119","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-069-lg-home-theatre-system-2-1-dh3140s-300w.jpg","",""
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","47080","not_attached","","","","","","no safe Jumia match"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","47081","not_attached","","","","","","no safe Jumia match"
