"sku","title","score","reasons","image_url","page_url","result_title"
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","14","brand,mpn,tokens:hisense|front|load|wfqy8014evjm,image_ext","https://th-test-11.slatic.net/p/ebc69910a3c2dcc744ab5c84f49c6d98.jpg","https://thaipick.com/product/lazada/3236725","เครื่องซักผ้าฝาหน้า HISENSE WFQY8014EVJM 8 กก. 1400RPM สีขาวFRONT LOAD ..."
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","14","brand,mpn,tokens:hisense|front|load|wfqy8014evjm,image_ext","https://th-test-11.slatic.net/p/14893cab0c92f0bb61e51edfb9187dac.jpg","https://thaipick.com/product/lazada/3236725","เครื่องซักผ้าฝาหน้า HISENSE WFQY8014EVJM 8 กก. 1400RPM สีขาวFRONT LOAD ..."
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","14","brand,mpn,tokens:hisense|front|load|wfqy8014evjm,image_ext","https://th-test-11.slatic.net/p/e48688e12cedaf38d96e7fa290fad925.jpg","https://thaipick.com/product/lazada/3236725","เครื่องซักผ้าฝาหน้า HISENSE WFQY8014EVJM 8 กก. 1400RPM สีขาวFRONT LOAD ..."
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","14","brand,mpn,tokens:hisense|front|load|wfqy8014evjm,image_ext","https://th-test-11.slatic.net/p/59c3fa05c3ebd9cffb7797853ec89d4e.jpg","https://thaipick.com/product/lazada/3236725","เครื่องซักผ้าฝาหน้า HISENSE WFQY8014EVJM 8 กก. 1400RPM สีขาวFRONT LOAD ..."
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","14","brand,mpn,tokens:hisense|front|load|wfqy8014evjm,image_ext","https://th-test-11.slatic.net/p/420335171bd48b5c6c533b6ca62f44ac.jpg","https://thaipick.com/product/lazada/3236725","เครื่องซักผ้าฝาหน้า HISENSE WFQY8014EVJM 8 กก. 1400RPM สีขาวFRONT LOAD ..."
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","9","mpn,tokens:load|6000,image_ext","https://www.telix.pl/wp-content/uploads/2023/06/Снимок-экрана-2023-06-12-в-18.39.10.png","https://www.telix.pl/artykuly/promocje/2023/06/nandme-nx-6000-elektryczna-szczoteczka-soniczna-do-zebow-w-promocyjnej-cenie/","Nandme NX 6000 – elektryczna szczoteczka soniczna do zębów w ..."
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","8","brand,tokens:nunix|load|washing|machine,image_ext","https://le.co.ke/wp-content/uploads/2023/11/nunix-washing-machine-7.5.jpg","https://le.co.ke/product-category/washing-drying/","Washing & Drying Archives - Leviticus Electronics Call us on: 0702750750"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","8","brand,tokens:double|door|refrigerator|vart,image_ext","https://www.mazagazaga.com/wp-content/uploads/2021/07/Untitled-3.jpg-VART-18DMY.jpg","https://www.mazagazaga.com/?product=von-vart-18dmy-refrigerator-double-door","VON VART 18DMY refrigerator - Mazagazaga"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","8","brand,tokens:double|door|refrigerator|vart,image_ext","https://www.mazagazaga.com/wp-content/uploads/2021/07/Untitled-4.jpg-VART-18DMS.jpg","https://www.mazagazaga.com/?product=von-vart-18dms-refrigerator-double-door","VON VART 18DMS refrigerator - Mazagazaga"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","8","brand,tokens:double|door|refrigerator|vart,image_ext","https://www.mazagazaga.com/wp-content/uploads/2021/07/Untitled-4.jpg-VART-18DMS.jpg","https://www.mazagazaga.com/?product=von-vart-18dms-refrigerator-double-door","VON VART 18DMS refrigerator - Mazagazaga"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","8","brand,tokens:door|refrigerator|200l|vart,image_ext","https://ke.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/60/018591/1.jpg?6429","https://santaecommerce.com/product/von-vart-26nms-200l-single-door-refrigerator/","VON VART 26NMS 200L Single Door Refrigerator – Santa Ecommerce"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","13","brand,mpn,tokens:hisense|smart|43a6n,image_ext","https://cdn.ozone.bg/media/catalog/product/cache/1/image/a4e40ebdc3e371adff845072e1c73f37/s/m/2275f3cf38aa0b2eb6eab13c5a2f0dc2/smart-televizor-hisense---43a6n--43----dled--4k--cheren-31.jpg","https://www.ozone.bg/product/mmtv0001900n-1/","Смарт телевизор Hisense - 43A6N, 43'', DLED, 4K, черен | Ozone.bg"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","13","brand,mpn,tokens:hisense|smart|43a6n,image_ext","https://mustardprojectors.co.ke/wp-content/uploads/2022/10/Hisense-43A6N.webp","https://mustardprojectors.co.ke/product/hisense-43a6n-4k-smart-tv/","Hisense 43A6N 43"" Smart TV - 4K - Mustard Projectors Kenya"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","13","brand,mpn,tokens:hisense|smart|43a6n,image_ext","https://hisense.cl/wp-content/uploads/2024/06/A6N04.jpg","https://hisense.cl/productos/tv/smart-tv-uhd-4k-43a6n/","Smart TV UHD 4K 43A6N – Hisense"
